trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-42,-203.24868666676014,"{0: 41, 1: 11, 2: 19, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,8,-93.94424523253204,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,-59,-295.40866965005733,"{0: 52, 1: 12, 2: 14, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-22,-181.2755113556598,"{0: 28, 1: 3, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-517.4742434454226,"{0: 77, 1: 14, 2: 26, 3: 1, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,7,-103.26246568157363,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-353.13634600986154,"{0: 85, 1: 12, 2: 23, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-11,-193.32333628843352,"{0: 24, 1: 6, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,9,-85.47165953314762,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,-10,-126.968450369677,"{0: 23, 1: 7, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,5,-57.5718984461676,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,16,-6.183288194549517,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,3,-95.53709503257247,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,-58,-288.94802480155136,"{0: 48, 1: 10, 2: 15, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-89,-496.50386097854715,"{0: 70, 1: 13, 2: 23, 3: 1, 4: 7}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,-26,-295.0026722433124,"{0: 34, 1: 11, 2: 12, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-71,-450.42641276423814,"{0: 59, 1: 6, 2: 17, 3: 1, 4: 8}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-482.4416456037026,"{0: 73, 1: 19, 2: 20, 3: 2, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,14,-52.17132393899269,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,-12,-177.3220706926046,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-40,-107.74407904551944,"{0: 43, 1: 8, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-88,-526.1183608587357,"{0: 64, 1: 11, 2: 23, 3: 3, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-100,-653.3043279734085,"{0: 73, 1: 14, 2: 25, 3: 4, 4: 9}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-67,-661.2891209744677,"{0: 45, 1: 14, 2: 20, 3: 3, 4: 10}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-23,-194.33690532830454,"{0: 25, 1: 6, 2: 9, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-500.0085178855207,"{0: 74, 1: 15, 2: 22, 3: 3, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-531.7768823051513,"{0: 69, 1: 10, 2: 33, 3: 3, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-3,-61.74208580719091,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-83,-499.81270837692233,"{0: 62, 1: 16, 2: 16, 3: 1, 4: 8}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,-28,-313.94622414494563,"{0: 41, 1: 6, 2: 10, 3: 0, 4: 6}",0
